name,t,x,y,z,vx,vy,vz,E,L
Mercury,5.67648e+08,2.84237e+10,6.00396e+10,0,-43104.3,21050.1,0,-1.97701e+35,3.14144e+43
Venus,5.67648e+08,-2.96079e+10,1.12332e+11,0,-33486.1,-10365.3,0,-1.97701e+35,3.14144e+43
Earth,5.67648e+08,1.5101e+11,-7.68846e+09,0,3336.62,29638.5,0,-1.97701e+35,3.14144e+43
Moon,5.67648e+08,1.50909e+11,-8.05569e+09,0,4315.16,29343.2,0,-1.97701e+35,3.14144e+43
Mars,5.67648e+08,-1.55284e+11,-1.53185e+11,0,17343.5,-16928.7,0,-1.97701e+35,3.14144e+43
Jupiter,5.67648e+08,-7.72394e+11,-6.70299e+10,0,1284.15,-12972.3,0,-1.97701e+35,3.14144e+43
Saturn,5.67648e+08,-1.13079e+12,-8.80695e+11,0,5940.99,-7503.12,0,-1.97701e+35,3.14144e+43
Uranus,5.67648e+08,6.36001e+11,2.79342e+12,0,-6655.5,1491.08,0,-1.97701e+35,3.14144e+43
Neptune,5.67648e+08,3.47935e+12,2.84639e+12,0,-3451.41,4201.11,0,-1.97701e+35,3.14144e+43
Sun,6.3072e+08,1.81914e+09,1.08442e+10,0,-13.4062,22.0361,0,-1.97701e+35,3.14144e+43
Mercury,6.3072e+08,6.63516e+09,-4.57029e+10,0,48216.6,3061.74,0,-1.97701e+35,3.14144e+43
Venus,6.3072e+08,-1.00139e+11,-2.47664e+10,0,11536.9,-33093.7,0,-1.97701e+35,3.14144e+43
Earth,6.3072e+08,1.50246e+11,-7.85851e+09,0,3701.51,29570.7,0,-1.97701e+35,3.14144e+43
Moon,6.3072e+08,1.50539e+11,-8.09529e+09,0,4355.87,30378.4,0,-1.97701e+35,3.14144e+43
Mars,6.3072e+08,-7.19486e+10,-2.03458e+11,0,22853.8,-7959.63,0,-1.97701e+35,3.14144e+43
Jupiter,6.3072e+08,-3.10982e+11,-7.01765e+11,0,11955,-5234.36,0,-1.97701e+35,3.14144e+43
Saturn,6.3072e+08,-6.68168e+11,-1.26215e+12,0,8514.5,-4409.56,0,-1.97701e+35,3.14144e+43
Uranus,6.3072e+08,2.10623e+11,2.85554e+12,0,-6807.67,474.545,0,-1.97701e+35,3.14144e+43
Neptune,6.3072e+08,3.2517e+12,3.10281e+12,0,-3763.68,3925.9,0,-1.97701e+35,3.14144e+43
Sun,6.93792e+08,9.39909e+08,1.18e+10,0,-12.2868,8.3826,0,-1.97701e+35,3.14144e+43
Mercury,6.93792e+08,-2.48775e+10,6.15578e+10,0,-43005.9,-23334.1,0,-1.97701e+35,3.14144e+43
Venus,6.93792e+08,4.00735e+10,-8.89857e+10,0,32656.6,12662.1,0,-1.97701e+35,3.14144e+43
Earth,6.93792e+08,1.49119e+11,-8.75834e+09,0,4086.83,29507.6,0,-1.97701e+35,3.14144e+43
Moon,6.93792e+08,1.49442e+11,-8.56872e+09,0,3582.26,30422.7,0,-1.97701e+35,3.14144e+43
Mars,6.93792e+08,2.49951e+10,-2.14009e+11,0,24035.4,2462.16,0,-1.97701e+35,3.14144e+43
Jupiter,6.93792e+08,4.69194e+11,-6.10395e+11,0,10430.1,7855.4,0,-1.97701e+35,3.14144e+43
Saturn,6.93792e+08,-8.79936e+10,-1.42015e+12,0,9608.94,-521.902,0,-1.97701e+35,3.14144e+43
Uranus,6.93792e+08,-2.19498e+11,2.853e+12,0,-6805.48,-555.333,0,-1.97701e+35,3.14144e+43
Neptune,6.93792e+08,3.00504e+12,3.34113e+12,0,-4054.31,3627.47,0,-1.97701e+35,3.14144e+43
Sun,7.56864e+08,5.11765e+08,1.20824e+10,0,-0.417148,2.37989,0,-1.97701e+35,3.14144e+43
Mercury,7.56864e+08,4.95367e+10,-1.83632e+10,0,25540.7,40069.6,0,-1.97701e+35,3.14144e+43
Venus,7.56864e+08,1.0006e+11,5.43537e+10,0,-13698.6,32235.1,0,-1.97701e+35,3.14144e+43
Earth,7.56864e+08,1.48428e+11,-1.03338e+10,0,4472.95,29460.6,0,-1.97701e+35,3.14144e+43
Moon,7.56864e+08,1.4838e+11,-9.95808e+09,0,3451.91,29335.9,0,-1.97701e+35,3.14144e+43
Mars,7.56864e+08,1.17907e+11,-1.828e+11,0,20714.3,12371.8,0,-1.97701e+35,3.14144e+43
Jupiter,7.56864e+08,7.72871e+11,1.14344e+11,0,-1712.36,12944.6,0,-1.97701e+35,3.14144e+43
Saturn,7.56864e+08,5.08013e+11,-1.32541e+12,0,9004.83,3486.58,0,-1.97701e+35,3.14144e+43
Uranus,7.56864e+08,-6.44583e+11,2.78571e+12,0,-6648.11,-1574.93,0,-1.97701e+35,3.14144e+43
Neptune,7.56864e+08,2.74077e+12,3.55994e+12,0,-4321.54,3307.44,0,-1.97701e+35,3.14144e+43
Sun,8.19936e+08,8.59528e+08,1.24001e+10,0,10.1887,9.29581,0,-1.97701e+35,3.14144e+43
Mercury,8.19936e+08,-5.42503e+10,1.83438e+10,0,-5206.89,-49181.6,0,-1.97701e+35,3.14144e+43
Venus,8.19936e+08,-4.46232e+10,1.10384e+11,0,-31785.7,-14771.4,0,-1.97701e+35,3.14144e+43
Earth,8.19936e+08,1.48491e+11,-1.18515e+10,0,4842.21,29419.6,0,-1.97701e+35,3.14144e+43
Moon,8.19936e+08,1.48132e+11,-1.17541e+10,0,4560.72,28401,0,-1.97701e+35,3.14144e+43
Mars,8.19936e+08,1.89656e+11,-1.15108e+11,0,13547.1,19940.5,0,-1.97701e+35,3.14144e+43
Jupiter,8.19936e+08,2.91297e+11,7.35096e+11,0,-12109.8,4871.85,0,-1.97701e+35,3.14144e+43
Saturn,8.19936e+08,1.01378e+12,-9.92834e+11,0,6787.37,6903.59,0,-1.97701e+35,3.14144e+43
Uranus,8.19936e+08,-1.05491e+12,2.65505e+12,0,-6338.15,-2560.81,0,-1.97701e+35,3.14144e+43
Neptune,8.19936e+08,2.46042e+12,3.75792e+12,0,-4563.81,2967.56,0,-1.97701e+35,3.14144e+43
Sun,8.83008e+08,1.54032e+09,1.33725e+10,0,9.21017,21.1896,0,-1.97701e+35,3.14144e+43
Mercury,8.83008e+08,5.57224e+10,3.35268e+10,0,-16870.3,44348,0,-1.97701e+35,3.14144e+43
Venus,8.83008e+08,-9.4739e+10,-3.55641e+10,0,15884,-31251.1,0,-1.97701e+35,3.14144e+43
Earth,8.83008e+08,1.48851e+11,-1.27313e+10,0,5197.13,29364.3,0,-1.97701e+35,3.14144e+43
Moon,8.83008e+08,1.48628e+11,-1.30341e+10,0,6020.72,28734,0,-1.97701e+35,3.14144e+43
Mars,8.83008e+08,2.2658e+11,-2.3037e+10,0,3874.55,23787.5,0,-1.97701e+35,3.14144e+43
Jupiter,8.83008e+08,-4.85526e+11,6.2047e+11,0,-10179.6,-8162.65,0,-1.97701e+35,3.14144e+43
Saturn,8.83008e+08,1.33817e+12,-4.80319e+11,0,3340.04,9102.63,0,-1.97701e+35,3.14144e+43
Uranus,8.83008e+08,-1.44102e+12,2.46386e+12,0,-5881.86,-3490.44,0,-1.97701e+35,3.14144e+43
Neptune,8.83008e+08,2.16563e+12,3.9339e+12,0,-4779.62,2609.82,0,-1.97701e+35,3.14144e+43
