name,t,x,y,z,vx,vy,vz,E,L
Mercury,6.3072e+08,3.39944e+11,5.78428e+12,0,651.508,19176.6,0,2.2264e+33,3.15605e+43
Venus,6.3072e+08,8.64642e+11,-6.15545e+12,0,1542.41,-6621.85,0,2.2264e+33,3.15605e+43
Earth,6.3072e+08,3.14399e+12,-6.71786e+11,0,9129.48,-548.782,0,2.2264e+33,3.15605e+43
Moon,6.3072e+08,6.53742e+10,-2.51289e+10,0,21990.3,57489.3,0,2.2264e+33,3.15605e+43
Mars,6.3072e+08,3.46053e+11,-6.01561e+12,0,1286.91,-6534.49,0,2.2264e+33,3.15605e+43
Jupiter,6.3072e+08,-4.60538e+12,-1.77657e+12,0,-5945.76,-4524.12,0,2.2264e+33,3.15605e+43
Saturn,6.3072e+08,-5.44982e+11,4.5818e+11,0,-12398.4,-14802.9,0,2.2264e+33,3.15605e+43
Uranus,6.3072e+08,-2.4155e+12,-3.84693e+11,0,-5364.5,-8955.84,0,2.2264e+33,3.15605e+43
Neptune,6.3072e+08,1.11332e+12,2.36951e+12,0,-10057.2,521.082,0,2.2264e+33,3.15605e+43
Sun,6.93792e+08,0,0,0,0,-15.989,0,2.25438e+33,3.15715e+43
Mercury,6.93792e+08,3.80638e+11,6.98788e+12,0,639.787,18970.3,0,2.25438e+33,3.15715e+43
Venus,6.93792e+08,9.60998e+11,-6.56561e+12,0,1513.46,-6420.81,0,2.25438e+33,3.15715e+43
Earth,6.93792e+08,3.69734e+12,-7.00778e+11,0,8452.14,-412.279,0,2.25438e+33,3.15715e+43
Moon,6.93792e+08,4.57736e+09,-6.99122e+10,0,61412.9,4014.68,0,2.25438e+33,3.15715e+43
Mars,6.93792e+08,4.26798e+11,-6.41979e+12,0,1273.47,-6318.84,0,2.25438e+33,3.15715e+43
Jupiter,6.93792e+08,-4.97088e+12,-2.05715e+12,0,-5652.99,-4407.08,0,2.25438e+33,3.15715e+43
Saturn,6.93792e+08,-3.76232e+11,-6.03904e+11,0,16378.4,-10244.7,0,2.25438e+33,3.15715e+43
Uranus,6.93792e+08,-2.71523e+12,-9.40004e+11,0,-4210.4,-8666.84,0,2.25438e+33,3.15715e+43
Neptune,6.93792e+08,4.64664e+11,2.36517e+12,0,-10471.4,-742.604,0,2.25438e+33,3.15715e+43
Sun,7.56864e+08,0,0,0,0,-15.989,0,1.99229e+33,3.15741e+43
Mercury,7.56864e+08,4.20731e+11,8.18054e+12,0,632.031,18824.4,0,1.99229e+33,3.15741e+43
Venus,7.56864e+08,1.05561e+12,-6.96388e+12,0,1486.93,-6243.51,0,1.99229e+33,3.15741e+43
Earth,7.56864e+08,4.21361e+12,-7.2269e+11,0,7940.37,-319.949,0,1.99229e+33,3.15741e+43
Moon,7.56864e+08,-6.30761e+10,-3.05223e+10,0,26758,-55429,0,1.99229e+33,3.15741e+43
Mars,7.56864e+08,5.06693e+11,-6.81121e+12,0,1260.02,-6128.67,0,1.99229e+33,3.15741e+43
Jupiter,7.56864e+08,-5.31944e+12,-2.33074e+12,0,-5406.41,-4302.06,0,1.99229e+33,3.15741e+43
Saturn,7.56864e+08,6.50457e+11,-2.88494e+11,0,7809.81,17642.5,0,1.99229e+33,3.15741e+43
Uranus,7.56864e+08,-2.95377e+12,-1.47492e+12,0,-3398.46,-8325.34,0,1.99229e+33,3.15741e+43
Neptune,7.56864e+08,-2.00557e+11,2.27223e+12,0,-10552.4,-2268.35,0,1.99229e+33,3.15741e+43
Sun,8.19936e+08,0,0,0,0,-15.989,0,2.16068e+33,3.15888e+43
Mercury,8.19936e+08,4.60412e+11,9.36525e+12,0,626.531,18715.4,0,2.16068e+33,3.15888e+43
Venus,8.19936e+08,1.14861e+12,-7.35158e+12,0,1462.52,-6085.51,0,2.16068e+33,3.15888e+43
Earth,8.19936e+08,4.70117e+12,-7.39652e+11,0,7534.42,-253.217,0,2.16068e+33,3.15888e+43
Moon,8.19936e+08,-5.23567e+10,4.65272e+10,0,-40880.9,-46044.2,0,2.16068e+33,3.15888e+43
Mars,8.19936e+08,5.85746e+11,-7.1913e+12,0,1246.76,-5959.19,0,2.16068e+33,3.15888e+43
Jupiter,8.19936e+08,-5.65361e+12,-2.59803e+12,0,-5194.97,-4207.17,0,2.16068e+33,3.15888e+43
Saturn,8.19936e+08,2.92674e+11,7.75958e+11,0,-13112.7,12162.4,0,2.16068e+33,3.15888e+43
Uranus,8.19936e+08,-3.14852e+12,-1.98837e+12,0,-2806.66,-7991.51,0,2.16068e+33,3.15888e+43
Neptune,8.19936e+08,-8.56457e+11,2.07958e+12,0,-10163.9,-3860.5,0,2.16068e+33,3.15888e+43
Sun,8.83008e+08,0,0,0,0,-15.989,0,2.22583e+33,3.16075e+43
Mercury,8.83008e+08,4.99793e+11,1.05439e+13,0,622.43,18630.9,0,2.22583e+33,3.16075e+43
Venus,8.83008e+08,1.24013e+12,-7.72984e+12,0,1439.94,-5943.46,0,2.22583e+33,3.16075e+43
Earth,8.83008e+08,5.16556e+12,-7.52954e+11,0,7201.26,-202.733,0,2.22583e+33,3.16075e+43
Moon,8.83008e+08,2.13087e+10,6.67798e+10,0,-58597.7,18700,0,2.22583e+33,3.16075e+43
Mars,8.83008e+08,6.63972e+11,-7.56127e+12,0,1233.82,-5806.78,0,2.22583e+33,3.16075e+43
Jupiter,8.83008e+08,-5.97533e+12,-2.85961e+12,0,-5011.01,-4120.89,0,2.22583e+33,3.16075e+43
Saturn,8.83008e+08,-5.56371e+11,1.2738e+12,0,-12927,4885.2,0,2.22583e+33,3.16075e+43
Uranus,8.83008e+08,-3.31085e+12,-2.48153e+12,0,-2360.49,-7683.54,0,2.22583e+33,3.16075e+43
Neptune,8.83008e+08,-1.47329e+12,1.79175e+12,0,-9335.6,-5243.48,0,2.22583e+33,3.16075e+43
Sun,9.4608e+08,0,0,0,0,-15.989,0,2.05955e+33,3.16249e+43
Mercury,9.4608e+08,5.38947e+11,1.17178e+13,0,619.257,18563.3,0,2.05955e+33,3.16249e+43
Venus,9.4608e+08,1.33028e+12,-8.09958e+12,0,1418.96,-5814.78,0,2.05955e+33,3.16249e+43
Earth,9.4608e+08,5.61067e+12,-7.63438e+11,0,6920.79,-163.221,0,2.05955e+33,3.16249e+43
Moon,9.4608e+08,6.96851e+10,6.97562e+09,0,-6068.38,61254.3,0,2.05955e+33,3.16249e+43
Mars,9.4608e+08,7.41393e+11,-7.92208e+12,0,1221.24,-5668.64,0,2.05955e+33,3.16249e+43
Jupiter,9.4608e+08,-6.28617e+12,-3.11599e+12,0,-4848.99,-4041.97,0,2.05955e+33,3.16249e+43
Saturn,9.4608e+08,-1.31875e+12,1.49084e+12,0,-11310.5,2351.03,0,2.05955e+33,3.16249e+43
Uranus,9.4608e+08,-3.44837e+12,-2.9562e+12,0,-2014.09,-7404.94,0,2.05955e+33,3.16249e+43
Neptune,9.4608e+08,-2.02093e+12,1.42187e+12,0,-7696.19,-6687.16,0,2.05955e+33,3.16249e+43
Sun,1.00915e+09,0,0,0,0,-15.989,0,1.73748e+33,3.16409e+43
